Date,Open,High,Low,Close,Volume,Change,5MA,5Disparity,20MA,20Disparity,60MA,60Disparity,120MA,120Disparity,label
2021-06-01,34350,34450,34050,34100,1022983,-0.0029239766081871,33810.0,1.0085773439810708,31562.5,1.0803960396039605,29097.5,1.1719219864249506,26923.75,1.2665397650773016,1.0
2021-06-02,34050,34050,33400,33650,1660962,-0.0131964809384164,33880.0,0.9932113341204252,31822.5,1.057427920496504,29223.333333333332,1.1514771301471427,27000.833333333332,1.246257831548409,1.0
2021-06-03,33750,33950,33600,33700,1033532,0.0014858841010401,33890.0,0.9943936264384774,32052.5,1.0514000467982216,29341.666666666668,1.1485373473445044,27080.416666666668,1.2444417091071345,1.0
2021-06-04,33600,33600,33000,33200,1240956,-0.0148367952522254,33770.0,0.983121113414273,32247.5,1.0295371734242964,29453.333333333332,1.1272068809416025,27155.833333333332,1.2225734188480069,1.0
2021-06-07,33250,33750,33000,33200,1315741,0.0,33570.0,0.988978254393804,32440.0,1.0234278668310728,29560.0,1.1231393775372125,27230.0,1.2192434814542783,1.0
2021-06-08,33150,33750,33100,33550,814319,0.0105421686746987,33460.0,1.0026897788404066,32645.0,1.0277224689845306,29669.166666666668,1.1308035839676431,27307.916666666668,1.2285814553166816,1.0
2021-06-09,33450,33900,33300,33350,1100467,-0.0059612518628912,33400.0,0.998502994011976,32787.5,1.0171559283263438,29774.166666666668,1.120098519410003,27380.416666666668,1.2180238309010394,1.0
2021-06-10,33450,33650,32950,32950,1679373,-0.0119940029985007,33250.0,0.9909774436090224,32867.5,1.0025100783448695,29870.833333333332,1.1030827172548474,27450.0,1.2003642987249543,1.0
2021-06-11,33000,33250,32700,33050,1020653,0.0030349013657056,33220.0,0.9948826008428656,32942.5,1.003263261743948,29973.333333333332,1.102646797153025,27519.166666666668,1.2009811343608998,1.0
2021-06-14,33050,33150,32600,32700,925700,-0.010590015128593,33120.0,0.9873188405797102,33027.5,0.9900840208916812,30069.166666666668,1.0874927251060056,27584.166666666668,1.1854626748436603,1.0
2021-06-15,32650,32850,32350,32750,1099308,0.0015290519877675,32960.0,0.993628640776699,33102.5,0.989351257457896,30172.5,1.0854254702129422,27647.916666666668,1.1845377138120714,1.0
2021-06-16,32650,32950,32150,32350,1644157,-0.0122137404580152,32760.0,0.9874847374847376,33105.0,0.9771937773750188,30270.0,1.0687148992401718,27706.666666666668,1.1675890279114534,1.0
2021-06-17,32150,33000,32000,32850,1224113,0.0154559505409581,32740.0,1.0033598045204644,33142.5,0.991174473862865,30372.5,1.0815704996295992,27767.083333333332,1.183055476358398,1.0
2021-06-18,32950,33350,32650,32700,1079771,-0.0045662100456621,32670.0,1.0009182736455464,33222.5,0.9842727067499436,30455.833333333332,1.0736859386543356,27829.583333333332,1.1750086089443188,1.0
2021-06-21,32400,32400,31650,31750,1623576,-0.0290519877675841,32480.0,0.977524630541872,33180.0,0.9569017480409886,30520.833333333332,1.040273037542662,27884.583333333332,1.13862199841609,1.0
2021-06-22,31950,32650,31850,32500,948922,0.0236220472440944,32430.0,1.002158495220475,33165.0,0.979948741142771,30590.833333333332,1.0624097632733118,27943.333333333332,1.1630681140403198,1.0
2021-06-23,32500,32750,32050,32400,852762,-0.003076923076923,32440.0,0.998766954377312,33120.0,0.9782608695652174,30665.833333333332,1.056550449740482,28000.833333333332,1.15710841939228,1.0
2021-06-24,32300,32450,31900,32250,836640,-0.0046296296296296,32320.0,0.9978341584158416,33050.0,0.9757942511346444,30740.0,1.0491216655823032,28067.916666666668,1.1489987084898237,0.5
2021-06-25,32150,32550,32000,32450,775310,0.0062015503875969,32270.0,1.0055779361636197,32982.5,0.983855074660805,30810.0,1.05322947095099,28138.333333333332,1.1532310608304213,0.4
2021-06-28,32350,32450,31950,32050,1055071,-0.0123266563944529,32330.0,0.9913393133312712,32875.0,0.9749049429657796,30874.166666666668,1.0380846986423384,28207.083333333332,1.1362394197674934,0.30392156862745096
2021-06-29,32000,32050,31450,31900,1323012,-0.0046801872074883,32210.0,0.990375659733002,32765.0,0.9735998779185108,30945.833333333332,1.0308334455365558,28273.333333333332,1.1282716340485734,0.42045454545454547
2021-06-30,31900,32100,31700,31800,646688,-0.0031347962382445,32090.0,0.9909629167965098,32672.5,0.9732955849720714,31013.333333333332,1.02536543422184,28338.333333333332,1.1221549138387343,0.3083832335329341
2021-07-01,31800,31800,31500,31600,593755,-0.0062893081761006,31960.0,0.9887359198998747,32567.5,0.9702924694864512,31072.5,1.0169764261002494,28396.25,1.112822995994189,0.4
2021-07-02,31500,31900,31500,31800,506921,0.0063291139240506,31830.0,0.9990574929311968,32497.5,0.9785368105238864,31136.666666666668,1.0213039289155337,28457.916666666668,1.117439493989663,0.4
2021-07-05,31850,31900,31500,31750,528031,-0.0015723270440252,31770.0,0.9993704752911552,32425.0,0.979182729375482,31200.833333333332,1.017601025613632,28524.166666666668,1.113091238423559,0.4
2021-07-06,32100,32500,31900,32400,1161971,0.0204724409448819,31870.0,1.0166300596171949,32367.5,1.0010040936124198,31275.0,1.0359712230215827,28594.583333333332,1.133081731679951,0.4
2021-07-07,32350,32950,32050,32500,1032962,0.0030864197530864,32010.0,1.015307716338644,32325.0,1.005413766434648,31352.5,1.0365999521569254,28664.583333333332,1.1338033287302858,0.4
2021-07-08,32600,33250,32500,32500,1742820,0.0,32190.0,1.0096303199751475,32302.5,1.0061140778577509,31425.833333333332,1.0341810081938958,28734.166666666668,1.1310576839418809,0.4
2021-07-09,32300,32600,31900,32150,1464984,-0.0107692307692307,32260.0,0.9965902045877248,32257.5,0.9966674416802294,31494.166666666668,1.0208239621093853,28801.25,1.1162709951825007,0.4
2021-07-12,32300,32650,32250,32450,600931,0.0093312597200621,32400.0,1.001543209876543,32245.0,1.0063575748178013,31558.333333333332,1.0282545550567732,28875.0,1.1238095238095238,0.4
2021-07-13,32700,33150,32600,33100,1038225,0.0200308166409861,32540.0,1.0172095881991394,32262.5,1.025958930647036,31635.833333333332,1.0462819060664332,28953.333333333332,1.1432189730600968,0.4
2021-07-14,32950,33100,32800,32950,709627,-0.0045317220543806,32630.0,1.0098069261415874,32292.5,1.020360764883487,31712.5,1.0390224674812771,29030.0,1.1350327247674818,0.4
